,algorithm,n_neighbors,p,weights,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
35,kd_tree,3,1,uniform,0.77301221887728,0.7202380952380952,0.7727220417365792,0.7200531574822637,0.77301221887728,0.7202380952380952,0.7729444373475239,0.7201596977111665,0.7724260410503236,0.7196528854216959,0.77301221887728,0.7202380952380952,0.77301221887728,0.7202380952380952,0.7725462260084156,0.7197647242313328,0.77301221887728,0.7202380952380952,0.7729505969720859,0.7201107747604144
36,kd_tree,3,3,distance,0.7931290950947406,0.7250566893424036,0.7928319645167266,0.7248543451487122,0.7931290950947406,0.7250566893424036,0.7933381362694417,0.725179322187065,0.793128510165132,0.7249787464131054,0.7931290950947406,0.7250566893424036,0.7931290950947406,0.7250566893424036,0.7929279491668448,0.7248932182194172,0.7931290950947406,0.7250566893424036,0.7931814387509771,0.725094705882633
37,ball_tree,3,1,uniform,0.7728705507349035,0.719671201814059,0.7725885226345959,0.7195037518372398,0.7728705507349035,0.719671201814059,0.7728005695249288,0.7195961981786088,0.7722646486315206,0.7190513839840431,0.7728705507349035,0.719671201814059,0.7728705507349035,0.719671201814059,0.7723939736022367,0.7191702932806678,0.7728705507349035,0.719671201814059,0.7728030479367007,0.7195266443178453
38,ball_tree,3,2,uniform,0.7721622100230211,0.715702947845805,0.7718565616132658,0.7154898013886812,0.7721622100230211,0.715702947845805,0.7720988518823284,0.7156181736867218,0.771608156644653,0.7151477361512335,0.7721622100230211,0.715702947845805,0.7721622100230211,0.715702947845805,0.7717119091956639,0.7152481193423655,0.7721622100230211,0.715702947845805,0.7721101417455356,0.715590047153462
39,brute,10,1,distance,0.8133876394545777,0.7534013605442177,0.8138436661578707,0.7537712092848758,0.8133876394545777,0.7534013605442177,0.8148372488964799,0.7543652087774483,0.8142264363098626,0.7539116088812492,0.8133876394545777,0.7534013605442177,0.8133876394545777,0.7534013605442177,0.8133665698510545,0.7533934353945693,0.8133876394545777,0.7534013605442177,0.8134444571520786,0.753435438687706
40,ball_tree,10,1,uniform,0.7701788560297503,0.7383786848072562,0.7700959861600245,0.7383154563264551,0.7701788560297503,0.7383786848072562,0.7708196293531423,0.7387343450117629,0.7705078399031428,0.7385258775889892,0.7701788560297503,0.7383786848072562,0.7701788560297503,0.7383786848072562,0.77006870223663,0.7383004490132373,0.7701788560297503,0.7383786848072562,0.7702663730401419,0.7384363997372702
41,kd_tree,10,1,distance,0.8129626350274483,0.7491496598639455,0.8134141453989798,0.7494509648617511,0.8129626350274483,0.7491496598639455,0.8144056800564621,0.750021292179026,0.8137979887227673,0.7496134468702144,0.8129626350274483,0.7491496598639455,0.8129626350274483,0.7491496598639455,0.8129412348997572,0.7491370630891024,0.8129626350274483,0.7491496598639455,0.8130198201368742,0.7491904734144372
42,kd_tree,10,3,distance,0.8129626350274483,0.7463151927437641,0.8134141453989798,0.7464941511333263,0.8129626350274483,0.7463151927437641,0.8144056800564621,0.7470210841692595,0.8137979887227673,0.7466911791904949,0.8129626350274483,0.7463151927437641,0.8129626350274483,0.7463151927437641,0.8129412348997572,0.7462902228819132,0.8129626350274483,0.7463151927437641,0.8130198201368742,0.7463658458920905
43,auto,10,2,distance,0.8133876394545777,0.7548185941043084,0.8131185402059617,0.7545982705818771,0.8133876394545777,0.7548185941043084,0.8136411865574767,0.7548067910584637,0.813474085774122,0.7545714913407917,0.8133876394545777,0.7548185941043084,0.8133876394545777,0.7548185941043084,0.8132223260955572,0.7545843341118141,0.8133876394545777,0.7548185941043084,0.8134405790897877,0.7548121465815791
44,ball_tree,10,3,uniform,0.7646183814414733,0.7327097505668935,0.7644786785564738,0.7325388457804836,0.7646183814414733,0.7327097505668935,0.7651672585540938,0.732887228614319,0.7648705049524127,0.7326983901312591,0.7646183814414733,0.7327097505668935,0.7646183814414733,0.7327097505668935,0.7644869524861427,0.7325756600817183,0.7646183814414733,0.7327097505668935,0.7647054752919322,0.7327555789605609
