,criterion,learning_rate,loss,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,n_estimators,warm_start,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
48,squared_error,2.0,log_loss,20.0,,30.0,2,10,50,False,0.5790331149282805,0.5719954648526077,0.5782786913810802,0.5716087461525621,0.5790331149282805,0.5719954648526077,0.5789044622964468,0.5719954648526077,0.5782238472973693,0.5716087461525621,0.5790331149282805,0.5719954648526077,0.5790331149282805,0.5719954648526077,0.5782418155052971,0.5716087461525621,0.5790331149282805,0.5719954648526077,0.5789593552110115,0.5719954648526077
49,squared_error,0.5,log_loss,15.0,,30.0,2,5,100,False,0.8160439171241367,0.7789115646258503,0.8157985173417446,0.7787156671248403,0.8160439171241367,0.7789115646258503,0.8163550579525275,0.7789818868057001,0.8161915905828537,0.7788311379603055,0.8160439171241367,0.7789115646258503,0.8160439171241367,0.7789115646258503,0.815896489099964,0.778761118864927,0.8160439171241367,0.7789115646258503,0.8161011169833275,0.778934458545991
50,squared_error,2.0,log_loss,15.0,,10.0,1,5,100,False,0.41919603329201344,0.4135487528344671,0.3787053599858843,0.37534807534807535,0.41919603329201344,0.4135487528344671,0.3818705222257163,0.3776593035521607,0.4091882224404373,0.40600365983067255,0.41919603329201344,0.4135487528344671,0.41919603329201344,0.4135487528344671,0.3732081391809749,0.36985549489487124,0.41919603329201344,0.4135487528344671,0.37987662434953423,0.3748409473616066
51,friedman_mse,1.0,exponential,20.0,0.7,,2,2,100,False,0.817283513369931,0.7670068027210885,0.8170181863963633,0.7668421020439633,0.817283513369931,0.7670068027210885,0.8172660782360318,0.7669616792479035,0.816946860770341,0.7666258053123192,0.817283513369931,0.7670068027210885,0.817283513369931,0.7670068027210885,0.8169809582761492,0.7667092379736058,0.817283513369931,0.7670068027210885,0.8172732349303338,0.7669595702214881
52,squared_error,2.0,exponential,20.0,,10.0,4,2,50,False,0.7947582787320702,0.7967687074829932,0.7950011640839739,0.7971101287258953,0.7947582787320702,0.7967687074829932,0.7958960473240446,0.7977133062550222,0.7954233941272165,0.7972925680476647,0.7947582787320702,0.7967687074829932,0.7947582787320702,0.7967687074829932,0.7947162504423222,0.7967600695952317,0.7947582787320702,0.7967687074829932,0.7948316201782888,0.7967998789910022
53,friedman_mse,1.0,log_loss,5.0,sqrt,,4,2,100,True,0.8151584912342837,0.7709750566893424,0.8148770602760375,0.7707752779184451,0.8151584912342837,0.7709750566893424,0.8151530168920367,0.7710467721455619,0.814857566020713,0.7708874590810151,0.8151584912342837,0.7709750566893424,0.8151584912342837,0.7709750566893424,0.8148671889725226,0.7708192103113604,0.8151584912342837,0.7709750566893424,0.8151556302299271,0.7709987724425136
54,friedman_mse,0.5,exponential,15.0,0.5,,4,10,50,False,0.817283513369931,0.7687074829931972,0.8170171970562794,0.7685090774539692,0.817283513369931,0.7687074829931972,0.8172668545303619,0.76868146259461,0.8169496472538067,0.7684303096252775,0.817283513369931,0.7687074829931972,0.817283513369931,0.7687074829931972,0.8169820132948067,0.7684657322450728,0.817283513369931,0.7687074829931972,0.8172737790743118,0.7686905180284167
55,friedman_mse,0.5,exponential,20.0,0.7,30.0,4,2,50,True,0.8120417921020011,0.7868480725623582,0.8117365307767193,0.7866513029319628,0.8120417921020011,0.7868480725623582,0.8120781400700972,0.7868731920896428,0.8118335781820627,0.7867066252327601,0.8120417921020011,0.7868480725623582,0.8120417921020011,0.7868480725623582,0.8117814974003839,0.7866766842617834,0.8120417921020011,0.7868480725623582,0.8120564181852349,0.7868583558603928
56,squared_error,1.0,log_loss,15.0,log2,10.0,1,5,100,False,0.8078271648663007,0.7857142857142857,0.8075730877356785,0.7857406609340849,0.8078271648663007,0.7857142857142857,0.8081266663955214,0.7862066231505381,0.8079482101620203,0.785998011507012,0.8078271648663007,0.7857142857142857,0.8078271648663007,0.7857142857142857,0.8076692692252483,0.785671236689873,0.8078271648663007,0.7857142857142857,0.8078857170199667,0.7857625006216279
57,friedman_mse,0.5,log_loss,20.0,,30.0,1,10,50,False,0.8133522224189835,0.7891156462585034,0.8130677309660852,0.7889534025915415,0.8133522224189835,0.7891156462585034,0.8135599322473086,0.7892718809007631,0.8133898505548363,0.789146726786789,0.8133522224189835,0.7891156462585034,0.8133522224189835,0.7891156462585034,0.813172798379207,0.7890071560492024,0.8133522224189835,0.7891156462585034,0.813400205533621,0.7891509055765263
58,squared_error,2.0,exponential,5.0,0.7,30.0,2,2,50,False,0.8017354347441119,0.7729591836734694,0.8014870511179704,0.7729112435163225,0.8017354347441119,0.7729591836734694,0.8020550046053744,0.7733347149044535,0.8018637865774574,0.7731546691790342,0.8017354347441119,0.7729591836734694,0.8017354347441119,0.7729591836734694,0.8015773345737561,0.7728956692608064,0.8017354347441119,0.7729591836734694,0.8017973259023943,0.773009779900506
59,friedman_mse,2.0,exponential,15.0,sqrt,10.0,2,2,200,False,0.7991854081813352,0.7879818594104309,0.7989110346399695,0.7879267796122118,0.7991854081813352,0.7879818594104309,0.7994457978339494,0.7883438123701559,0.7992513038029001,0.7881823945354076,0.7991854081813352,0.7879818594104309,0.7991854081813352,0.7879818594104309,0.7990079372432861,0.7879205193783199,0.7991854081813352,0.7879818594104309,0.7992425204021615,0.7880288867683825
60,squared_error,2.0,exponential,15.0,sqrt,30.0,1,5,200,True,0.8092084292544715,0.7610544217687075,0.8096579927828613,0.7618835100983583,0.8092084292544715,0.7610544217687075,0.8094407527162015,0.7616122651510034,0.8080874438813788,0.7599094145268066,0.8092084292544715,0.7610544217687075,0.8092084292544715,0.7610544217687075,0.8085126304781995,0.7601637152002583,0.8092084292544715,0.7610544217687075,0.8089660034763696,0.76060285425261
