,activation,alpha,hidden_layer_sizes,learning_rate,max_iter,random_state,solver,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
45,identity,0.01,100,constant,200,23,adam,0.765114219939791,0.7684240362811792,0.7702891281441131,0.7734295698697344,0.765114219939791,0.7684240362811792,0.76915606334676,0.772521031238935,0.7619954645798102,0.7661775741607848,0.765114219939791,0.7684240362811792,0.765114219939791,0.7684240362811792,0.7622725276591809,0.7661881612059418,0.765114219939791,0.7684240362811792,0.7632934012384476,0.7668751257218118
46,relu,0.0001,20,adaptive,200,23,adam,0.7936249335930583,0.7908163265306123,0.7947969970490911,0.7921700124999718,0.7936249335930583,0.7908163265306123,0.7960083841625492,0.7930344143840207,0.7948260891597522,0.7917865782834822,0.7936249335930583,0.7908163265306123,0.7936249335930583,0.7908163265306123,0.79362484971916,0.7908011998183495,0.7936249335930583,0.7908163265306123,0.7936300172832265,0.790747752101688
47,logistic,0.001,500,adaptive,100,23,adam,0.7868602797945812,0.7825963718820862,0.7865251742788326,0.7824117355828891,0.7868602797945812,0.7825963718820862,0.7869358173915013,0.782699550990461,0.7866730671865234,0.7825618943371052,0.7868602797945812,0.7825963718820862,0.7868602797945812,0.7825963718820862,0.7865888231242704,0.7824640863591472,0.7868602797945812,0.7825963718820862,0.7868877759021997,0.7826252618238775
48,tanh,0.001,20,invscaling,200,23,lbfgs,0.7998937488932176,0.7956349206349206,0.7995998051257788,0.7955464025669505,0.7998937488932176,0.7956349206349206,0.8000990143724706,0.7959373573671519,0.7999022228228363,0.7957997508433082,0.7998937488932176,0.7956349206349206,0.7998937488932176,0.7956349206349206,0.7996987375295292,0.7955655263519346,0.7998937488932176,0.7956349206349206,0.7999442172143538,0.7956786924134196
49,relu,0.0001,500,adaptive,200,23,sgd,0.7607579245617142,0.7627551020408163,0.7604702737482414,0.7626042789633733,0.7607579245617142,0.7627551020408163,0.7606738504885997,0.7627067613108666,0.7600692180583667,0.7623276433012843,0.7607579245617142,0.7627551020408163,0.7607579245617142,0.7627551020408163,0.7602194681386301,0.7624275490897834,0.7607579245617142,0.7627551020408163,0.7606657672217394,0.7626925919356575
50,relu,0.001,100,invscaling,500,23,sgd,0.5491057198512485,0.546201814058957,0.5652882144106822,0.565882939417043,0.5491057198512485,0.546201814058957,0.5643402250563738,0.5650034287560155,0.5359938637262145,0.5361341534767908,0.5491057198512485,0.546201814058957,0.5491057198512485,0.546201814058957,0.4841387236558866,0.4823586468900295,0.5491057198512485,0.546201814058957,0.491329182616032,0.48782061276566013
51,relu,0.01,500,invscaling,200,23,lbfgs,0.8047458827696122,0.7854308390022676,0.8044432981777948,0.7852341891601559,0.8047458827696122,0.7854308390022676,0.8047475287420065,0.7854426379927942,0.8044483743660487,0.7852625392946093,0.8047458827696122,0.7854308390022676,0.8047458827696122,0.7854308390022676,0.8044458271551775,0.7852477952425083,0.8047458827696122,0.7854308390022676,0.8047466966636839,0.785436170373911
52,tanh,0.001,20,adaptive,100,23,lbfgs,0.7891978041437931,0.780328798185941,0.7892430635725995,0.7804229726481202,0.7891978041437931,0.780328798185941,0.7900397732003199,0.7809220972976693,0.7896885322551868,0.7806673256377604,0.7891978041437931,0.780328798185941,0.7891978041437931,0.780328798185941,0.7891254519075885,0.7802961606468817,0.7891978041437931,0.780328798185941,0.7892788718501335,0.7803766159757257
53,logistic,0.0001,500,adaptive,100,23,lbfgs,0.7561537099344785,0.7596371882086168,0.7560036624582913,0.7594848419957784,0.7561537099344785,0.7596371882086168,0.7560901952981726,0.7595870489486952,0.7552098924072652,0.7591983883621374,0.7561537099344785,0.7596371882086168,0.7561537099344785,0.7596371882086168,0.7554487039765281,0.7593002375021722,0.7561537099344785,0.7596371882086168,0.7559644372267701,0.7595708191300747
54,tanh,0.01,500,constant,100,23,sgd,0.7335576412254294,0.7412131519274376,0.7332617398864009,0.7411357387012967,0.7335576412254294,0.7412131519274376,0.7338530094088922,0.7415460287998437,0.7335318877428979,0.7413458578584555,0.7335576412254294,0.7412131519274376,0.7335576412254294,0.7412131519274376,0.7333260875915371,0.7411306042884991,0.7335576412254294,0.7412131519274376,0.7336347330001749,0.7412694939667132
