,criterion,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,n_estimators,random_state,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
41,entropy,20.0,0.7,10.0,2,2,10,23,0.7512661590224898,0.7604875283446711,0.7509083410855049,0.7602893518518519,0.7512661590224898,0.7604875283446711,0.7513952369040524,0.7605811116885026,0.7510866456355256,0.7604160267002307,0.7512661590224898,0.7604875283446711,0.7512661590224898,0.7604875283446711,0.7509770817968089,0.7603350081112719,0.7512661590224898,0.7604875283446711,0.7513103319457487,0.7605166614229609
42,gini,15.0,0.7,30.0,2,5,100,23,0.7772622631485745,0.7840136054421769,0.7769857861582381,0.783888069525777,0.7772622631485745,0.7840136054421769,0.7771965167302539,0.7839767815733663,0.776677079119688,0.7836309264376609,0.7772622631485745,0.7840136054421769,0.7772622631485745,0.7840136054421769,0.776802122578264,0.7837289226412666,0.7772622631485745,0.7840136054421769,0.7772001692962626,0.7839646755857704
43,gini,5.0,0.5,30.0,1,2,10,23,0.7721622100230211,0.784297052154195,0.7718286320784721,0.7841237419618645,0.7721622100230211,0.784297052154195,0.7723084478249115,0.7844299233016485,0.7720456345487687,0.7842982070432281,0.7721622100230211,0.784297052154195,0.7721622100230211,0.784297052154195,0.7719094039496421,0.7841775995697713,0.7721622100230211,0.784297052154195,0.772207661327703,0.7843301534727702
44,gini,5.0,sqrt,,4,2,100,23,0.7769789268638215,0.7857142857142857,0.7766582305493764,0.7855960342057469,0.7769789268638215,0.7857142857142857,0.7771528789676233,0.7859647006735446,0.7769060180082914,0.7858275324899232,0.7769789268638215,0.7857142857142857,0.7769789268638215,0.7857142857142857,0.7767449795617564,0.7856298933505569,0.7769789268638215,0.7857142857142857,0.7770288390343933,0.7857576875013463
45,gini,5.0,log2,10.0,2,2,250,23,0.7525411723038782,0.7624716553287982,0.7523071494066109,0.7625075346594334,0.7525411723038782,0.7624716553287982,0.7524527082361506,0.7624894241401604,0.7516892999477136,0.761813793811097,0.7525411723038782,0.7624716553287982,0.7525411723038782,0.7624716553287982,0.7518904367945818,0.7619942971319822,0.7525411723038782,0.7624716553287982,0.7523895140281983,0.7623145500994664
46,entropy,15.0,log2,,4,10,100,23,0.8065521515849123,0.7996031746031746,0.8064433265713421,0.7998120397416382,0.8065521515849123,0.7996031746031746,0.80714093894157,0.8003655323585668,0.8069052914622509,0.8000443567102954,0.8065521515849123,0.7996031746031746,0.8065521515849123,0.7996031746031746,0.8064523980557013,0.7995856398537808,0.8065521515849123,0.7996031746031746,0.8066249825547575,0.799641963594258
47,gini,,log2,30.0,4,5,100,23,0.773897644767133,0.7811791383219955,0.7735648749253587,0.7810139459649775,0.773897644767133,0.7811791383219955,0.773859401465285,0.7811446205160514,0.7734479794643053,0.7808620898733212,0.773897644767133,0.7811791383219955,0.773897644767133,0.7811791383219955,0.7735013760591107,0.7809256856931059,0.773897644767133,0.7811791383219955,0.7738734861329437,0.7811495688486251
48,entropy,,,30.0,4,2,50,23,0.7721622100230211,0.7794784580498866,0.7719524640540864,0.7794632179274114,0.7721622100230211,0.7794784580498866,0.772091667093912,0.7794719031584995,0.771418675768985,0.7789382502484008,0.7721622100230211,0.7794784580498866,0.7721622100230211,0.7794784580498866,0.7716086896726244,0.779100151398724,0.7721622100230211,0.7794784580498866,0.7720503113047035,0.7793748123920339
49,entropy,,sqrt,,4,5,100,23,0.813777226846113,0.7791950113378685,0.8134830474427766,0.7789929829751928,0.813777226846113,0.7791950113378685,0.8137882344945072,0.7792257547843626,0.8135173579276354,0.7790551731214419,0.813777226846113,0.7791950113378685,0.813777226846113,0.7791950113378685,0.8134997929674207,0.7790210053354579,0.813777226846113,0.7791950113378685,0.8137823220504966,0.7792073147925843
50,entropy,5.0,,,1,10,50,23,0.7617850185939437,0.778344671201814,0.7639664223334515,0.7804578810665757,0.7617850185939437,0.778344671201814,0.7653704715192404,0.7814490325960656,0.7633897817093477,0.7795593728559449,0.7617850185939437,0.778344671201814,0.7617850185939437,0.778344671201814,0.7617568528268162,0.7782805429864253,0.7617850185939437,0.778344671201814,0.7616551074335116,0.7781672498059052
51,gini,5.0,0.5,,4,5,50,23,0.7760226669027802,0.784297052154195,0.7756866615596197,0.784098627641674,0.7760226669027802,0.784297052154195,0.7759958980123708,0.7843177213742494,0.7756097227840416,0.7841447759278481,0.7760226669027802,0.784297052154195,0.7760226669027802,0.784297052154195,0.7756459413626466,0.7841201236706257,0.7760226669027802,0.784297052154195,0.7760070378397497,0.7843058109900153
52,entropy,5.0,0.5,,1,5,10,23,0.76012041792102,0.7704081632653061,0.762450755295986,0.7735994476468794,0.76012041792102,0.7704081632653061,0.7617913156050349,0.7729090881684166,0.7577922741250874,0.768564119570766,0.76012041792102,0.7704081632653061,0.76012041792102,0.7704081632653061,0.758203493525814,0.7687583245805545,0.76012041792102,0.7704081632653061,0.7590491057590214,0.7693451799516406
53,entropy,,sqrt,30.0,2,10,250,23,0.7763414202231274,0.780045351473923,0.7762318227166913,0.7800661254100604,0.7763414202231274,0.780045351473923,0.7762980590298453,0.7800547747026862,0.7754900974659151,0.7794715600792181,0.7763414202231274,0.780045351473923,0.7763414202231274,0.780045351473923,0.7757318726696303,0.7796470203031418,0.7763414202231274,0.780045351473923,0.77619110380878,0.7799285076638272
54,entropy,,0.5,,2,2,10,23,0.8140959801664601,0.770124716553288,0.8138120672584683,0.7699177812518094,0.8140959801664601,0.770124716553288,0.8140914456213458,0.7701208844180755,0.8137961997451049,0.7699084913668461,0.8140959801664601,0.770124716553288,0.8140959801664601,0.770124716553288,0.8138040504858641,0.7699130743160518,0.8140959801664601,0.770124716553288,0.8140936301064194,0.7701227385884539
